Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-12-31 16:01:35,false,"Fairfax County Running","3.21","373","00:28:53","152","164","168","179","9:00","6:58","109","87","1.07","0.0","4,842","No","00:01:42.7","4","00:28:42","00:28:53","8","99"
Running,2025-12-28 09:32:35,false,"Fairfax County Running","9.43","1,170","01:29:54","164","187","173","182","9:32","7:05","152","130","0.98","0.0","15,568","No","00:04:25.2","10","01:29:51","01:29:54","3","99"
Running,2025-12-26 08:43:25,false,"Fairfax County Running","3.71","451","00:34:09","152","178","170","185","9:12","7:07","105","94","1.03","0.0","5,790","No","00:06:29.6","4","00:34:08","00:34:09","10","99"
Running,2025-12-24 09:40:43,false,"Fairfax County Running","4.23","506","00:38:57","153","178","169","181","9:12","7:33","112","92","1.04","0.0","6,570","No","00:02:28.2","5","00:38:49","00:40:22","4","99"
Running,2025-12-23 16:33:23,false,"Fairfax County Running","3.01","333","00:27:25","142","158","167","181","9:07","6:40","43","40","1.05","0.0","4,608","No","00:00:03.4","4","00:27:20","00:27:25","50","99"
Running,2025-12-21 09:57:17,false,"Fairfax County Running","4.02","483","00:37:03","157","176","169","187","9:12","6:44","96","88","1.04","0.0","6,238","No","00:00:11.8","5","00:36:46","00:39:48","19","99"
Running,2025-12-20 10:09:34,false,"Fairfax County Running","3.32","414","00:31:34","156","169","167","182","9:30","7:09","107","86","1.02","0.0","5,290","No","00:03:16.7","4","00:30:45","00:31:34","8","99"
Running,2025-12-14 08:27:02,false,"Fairfax County Running","3.07","382","00:31:20","146","165","163","179","10:12","7:51","126","113","0.97","0.0","5,128","No","00:00:48.9","4","00:30:25","00:54:33","11","100"
Running,2025-12-13 08:42:26,false,"Fairfax County Running","6.50","796","01:00:07","164","179","173","183","9:15","7:08","189","181","1.01","0.0","10,354","No","00:04:49.6","7","01:00:03","01:00:07","7","99"
Running,2025-12-07 10:07:56,false,"Fairfax County Running","3.30","392","00:30:24","151","183","173","183","9:13","6:52","37","37","1.01","0.0","5,258","No","00:02:52.0","4","00:30:20","00:30:24","3","34"
Running,2025-12-06 09:44:15,false,"Fairfax County Running","5.13","626","00:48:28","160","179","170","179","9:27","6:29","118","95","1.00","0.0","8,244","No","00:01:12.5","6","00:48:27","00:48:28","3","100"
Running,2025-12-05 08:17:41,false,"Fairfax County Running","3.08","363","00:27:07","143","161","168","180","8:49","6:51","64","50","1.09","0.0","4,564","No","00:00:42.7","4","00:27:02","00:27:07","49","99"
Running,2025-12-03 09:53:42,false,"Fairfax County Running","3.22","400","00:30:32","156","178","169","181","9:28","7:14","109","88","1.01","0.0","5,152","No","00:02:10.1","4","00:30:30","00:30:32","10","99"
Running,2025-11-30 15:54:24,false,"Fairfax County Running","3.01","364","00:28:25","150","160","169","181","9:27","7:30","54","42","1.01","0.0","4,798","No","00:00:04.4","4","00:28:25","00:28:25","51","99"
Running,2025-11-29 09:26:29,false,"Fairfax County Running","4.25","511","00:40:32","151","170","169","179","9:32","7:08","111","88","1.00","0.0","6,828","No","00:02:25.9","5","00:40:31","00:40:32","4","100"
Running,2025-11-27 08:33:35,false,"Turkey Chase Charity Race","6.29","745","00:52:29","168","183","171","186","8:20","6:09","211","217","1.13","0.0","8,938","No","00:01:52.2","7","00:52:26","00:52:29","235","385"
Running,2025-11-26 10:58:17,false,"Fairfax County Running","4.30","536","00:41:15","155","168","168","178","9:36","7:41","106","88","1.00","0.0","6,938","No","00:02:53.4","5","00:41:13","00:41:15","4","99"
Running,2025-11-25 09:00:28,false,"Fairfax County Running","3.09","385","00:28:58","158","173","167","178","9:23","7:39","109","86","1.03","0.0","4,826","No","00:00:47.7","4","00:28:57","00:28:58","10","99"
Running,2025-11-23 13:11:12,false,"Fairfax County Running","4.59","562","00:44:09","152","171","166","179","9:37","7:26","108","89","1.01","0.0","7,304","No","00:06:19.9","5","00:44:08","00:44:26","4","100"
Running,2025-11-16 09:22:59,false,"Fairfax County Running","6.17","762","01:00:00","154","176","168","185","9:43","7:17","166","156","0.99","0.0","10,086","No","00:01:40.9","7","01:00:00","01:03:16","16","99"
Running,2025-11-15 08:53:33,false,"Fairfax County Running","3.30","400","00:30:52","159","180","167","177","9:20","7:06","105","87","1.03","0.0","5,144","No","00:02:57.6","4","00:30:50","00:33:22","9","99"
Running,2025-11-11 09:38:30,false,"Fairfax County Running","3.35","412","00:31:34","150","169","167","176","9:26","7:27","110","88","1.03","0.0","5,250","No","00:03:16.3","4","00:31:33","00:31:34","10","99"
Running,2025-11-09 10:28:50,false,"Fairfax County Running","3.05","379","00:28:50","159","178","167","178","9:27","7:47","38","37","1.02","0.0","4,824","No","00:00:31.0","4","00:28:50","00:28:50","49","99"
Running,2025-11-08 08:27:50,false,"Fairfax County Running","4.19","519","00:40:39","159","175","168","184","9:42","6:48","106","89","0.99","0.0","6,836","No","00:01:56.2","5","00:40:36","00:42:22","3","99"
Running,2025-11-04 15:54:09,false,"Fairfax County Running","3.15","379","00:29:48","151","168","167","177","9:28","7:51","78","66","1.02","0.0","4,950","No","00:01:29.0","4","00:29:47","00:29:48","48","99"
Running,2025-11-02 09:03:23,false,"Fairfax County Running","4.32","524","00:41:14","152","171","167","182","9:33","6:57","105","89","1.01","0.0","6,902","No","00:03:11.0","5","00:41:11","00:41:14","4","99"
Running,2025-11-01 09:14:35,false,"Fairfax County Running","3.36","420","00:31:55","156","170","164","177","9:30","7:02","109","87","1.03","0.0","5,218","No","00:03:33.3","4","00:31:54","00:31:55","9","99"
Running,2025-10-28 17:43:41,false,"Fairfax County Running","3.06","376","00:30:07","153","168","164","173","9:51","5:56","49","50","1.00","0.0","4,910","No","00:00:33.4","4","00:30:06","00:30:07","50","99"
Running,2025-10-19 17:02:43,false,"Fairfax County Running","3.06","382","00:28:28","157","175","165","176","9:18","7:20","60","48","1.05","0.0","4,694","No","00:00:31.8","4","00:28:27","00:28:28","50","99"
Running,2025-10-04 08:59:14,false,"Fairfax County Running","3.11","378","00:28:49","148","171","168","177","9:15","7:09","103","87","1.04","0.0","4,832","No","00:01:08.7","4","00:28:49","00:28:49","9","100"
Running,2025-10-02 18:10:01,false,"Fairfax County Running","2.98","328","00:26:34","160","179","165","175","8:54","7:02","76","65","1.10","0.0","2,928","No","00:08:33","3","00:26:34","00:26:34","48","99"
Running,2025-09-30 18:06:58,false,"Fairfax County Running","3.06","371","00:29:24","147","163","167","178","9:36","7:33","82","78","1.01","0.0","4,892","No","00:00:36.2","4","00:29:23","00:29:24","50","99"
Running,2025-09-28 08:57:59,false,"Fairfax County Running","3.17","385","00:29:06","152","165","166","175","9:11","7:18","60","49","1.06","0.0","4,810","No","00:01:39.6","4","00:29:06","00:29:06","47","98"
Running,2025-09-27 08:41:39,false,"Fairfax County Running","6.11","745","00:59:47","152","164","169","182","9:47","7:39","116","95","0.97","0.0","10,088","No","00:01:07.2","7","00:59:45","00:59:47","3","99"
Running,2025-09-26 18:13:37,false,"Fairfax County Running","3.07","368","00:28:35","148","162","165","176","9:18","6:49","39","36","1.05","0.0","4,704","No","00:00:45.9","4","00:28:33","00:28:35","49","99"
Running,2025-09-24 17:46:12,false,"Fairfax County Running","3.52","439","00:37:00","144","161","162","173","10:31","8:06","110","87","0.94","0.0","6,036","No","00:06:12.7","4","00:37:00","00:37:00","10","98"
Running,2025-09-23 18:38:18,false,"Fairfax County Running","2.28","277","00:20:26","159","174","166","178","8:58","6:53","58","35","1.08","0.0","3,412","No","00:02:55.5","3","00:20:26","00:20:26","50","100"
Running,2025-09-21 08:48:33,false,"Fairfax County Running","4.45","498","00:40:40","153","176","171","183","9:08","7:18","123","109","1.03","0.0","6,168","No","00:04:29","5","00:40:40","00:40:40","20","99"
Running,2025-09-20 08:58:27,false,"Fairfax County Running","7.16","865","01:06:26","157","177","172","183","9:17","7:00","121","99","1.01","0.0","11,396","No","00:01:36.7","8","01:06:23","01:07:02","3","98"
Running,2025-09-18 17:33:49,false,"Fairfax County Running","3.04","373","00:29:23","150","164","167","179","9:40","8:17","62","51","1.00","0.0","4,900","No","00:00:21.4","4","00:29:19","00:30:04","50","99"
Running,2025-09-17 17:47:48,false,"Fairfax County Running","3.13","366","00:28:08","153","170","168","184","9:00","7:21","93","81","1.06","0.0","4,738","No","00:01:16.1","4","00:28:07","00:28:08","48","98"
Running,2025-09-14 09:54:16,false,"Fairfax County Running","3.32","400","00:29:56","159","170","170","183","9:01","7:07","86","64","1.05","0.0","5,092","No","00:03:30.1","4","00:29:54","00:29:56","49","98"
Running,2025-09-13 08:16:48,false,"Fairfax County Running","7.43","911","01:09:31","161","185","172","183","9:22","6:57","132","130","1.00","0.0","11,924","No","00:04:22.2","8","01:09:26","01:09:56","3","99"
Running,2025-09-12 17:14:41,false,"Fairfax County Running","3.04","374","00:27:16","163","176","168","178","8:58","7:08","65","52","1.07","0.0","4,568","No","00:00:20.8","4","00:27:14","00:27:16","49","99"
Running,2025-09-09 17:56:49,false,"Fairfax County Running","3.07","365","00:27:30","154","166","164","180","8:57","6:59","44","42","1.10","0.0","4,516","No","00:00:39.2","4","00:27:24","00:27:30","49","99"
Running,2025-09-06 09:04:13,false,"Fairfax County Running","5.06","627","00:47:15","163","183","170","183","9:21","6:44","114","95","1.01","0.0","8,012","No","00:00:38.3","6","00:47:08","00:49:27","3","99"
Running,2025-09-04 18:04:13,false,"Fairfax County Running","3.20","373","00:28:13","153","174","167","179","8:50","6:47","84","71","1.09","0.0","4,710","No","00:01:46.4","4","00:28:12","00:28:13","44","98"
Running,2025-09-03 18:13:58,false,"Fairfax County Running","3.05","371","00:28:21","153","167","167","178","9:17","7:36","38","36","1.04","0.0","4,724","No","00:00:27.6","4","00:28:19","00:28:21","50","99"
Running,2025-09-01 09:32:57,false,"Fairfax County Running","4.51","535","00:41:09","152","168","170","183","9:07","6:27","107","94","1.04","0.0","7,008","No","00:05:16.1","5","00:41:09","00:41:12","4","99"
Running,2025-08-30 09:57:35,false,"Fairfax County Running","6.53","761","00:58:59","152","168","170","181","9:02","6:49","119","99","1.05","0.0","10,034","No","00:05:11.2","7","00:58:39","01:02:33","3","98"
Running,2025-08-27 18:48:04,false,"Fairfax County Running","3.07","364","00:26:28","159","185","165","176","8:38","6:32","56","48","1.13","0.0","4,358","No","00:00:33.3","4","00:26:26","00:26:28","50","99"
Running,2025-08-26 18:01:25,false,"Fairfax County Running","3.04","366","00:29:18","145","163","165","173","9:39","7:55","54","38","1.01","0.0","4,820","No","00:00:22.2","4","00:29:18","00:29:18","50","98"
Running,2025-08-24 07:32:11,false,"Philly 10k","6.34","745","00:50:53","172","191","177","249","8:02","5:47","20","23","1.13","0.0","9,002","No","00:02:26.0","7","00:50:52","00:50:53","16","39"
Running,2025-08-22 15:53:30,false,"Fairfax County Running","3.13","378","00:29:13","152","165","166","175","9:19","7:45","78","66","1.04","0.0","4,830","No","00:01:18.2","4","00:29:11","00:29:13","48","98"
Running,2025-08-21 18:10:39,false,"Fairfax County Running","3.06","362","00:27:47","151","163","166","177","9:04","7:07","78","80","1.07","0.0","4,616","No","00:00:34.7","4","00:27:45","00:27:47","10","99"
Running,2025-08-19 18:08:23,false,"Fairfax County Running","3.12","372","00:27:30","159","172","167","179","8:49","6:33","98","87","1.10","0.0","4,584","No","00:01:17.3","4","00:27:29","00:27:30","44","99"
Running,2025-08-17 09:13:17,false,"Fairfax County Running","5.09","623","00:46:43","162","182","169","186","9:11","6:19","161","148","1.04","0.0","7,902","No","00:01:01.9","6","00:46:34","00:48:09","17","98"
Running,2025-08-16 09:25:21,false,"Fairfax County Running","4.31","534","00:40:36","154","179","170","186","9:25","7:37","101","88","1.01","0.0","6,894","No","00:02:46.0","5","00:40:35","00:40:36","4","99"
Running,2025-08-14 17:14:36,false,"Fairfax County Running","4.03","489","00:39:21","150","168","166","183","9:46","7:06","103","95","0.99","0.0","6,540","No","00:00:12.9","5","00:39:09","00:39:21","20","99"
Running,2025-08-12 18:12:33,false,"Fairfax County Running","3.06","385","00:28:24","164","184","166","177","9:17","6:45","61","46","1.04","0.0","4,724","No","00:00:36.8","4","00:28:10","00:28:36","50","99"
Running,2025-08-10 10:15:46,false,"Fairfax County Running","3.17","378","00:28:25","158","173","169","187","8:57","6:43","39","36","1.06","0.0","4,816","No","00:01:56.9","4","00:28:22","00:28:25","50","99"
Running,2025-08-09 09:04:38,false,"Fairfax County Running","4.73","585","00:42:47","166","184","169","178","9:02","6:49","102","102","1.06","0.0","7,228","No","00:07:21.4","5","00:42:46","00:42:47","4","98"
Running,2025-08-07 18:23:09,false,"Fairfax County Running","2.33","260","00:29:22","126","151","140","169","12:36","8:00","104","91","0.90","0.0","3,346","No","00:07:07","3","00:28:56","00:29:54","34","99"
Running,2025-08-06 18:56:00,false,"Fairfax County Running","3.13","372","00:29:45","147","167","165","178","9:30","7:18","40","35","1.03","0.0","4,942","No","00:01:25.8","4","00:29:23","00:32:29","47","99"
Running,2025-08-05 18:16:05,false,"Fairfax County Running","3.06","374","00:27:42","161","179","169","179","9:04","7:08","63","47","1.05","0.0","4,662","No","00:00:32.1","4","00:27:41","00:27:42","49","99"
Running,2025-08-02 08:43:05,false,"Fairfax County Running","6.07","777","01:00:12","164","177","167","181","9:55","6:42","118","95","0.97","0.0","10,070","No","00:00:41.4","7","01:00:08","01:00:12","3","98"
Running,2025-07-27 09:28:50,false,"Fairfax County Running","3.19","393","00:31:54","145","162","168","177","10:00","8:14","107","86","0.96","0.0","5,344","No","00:01:58.6","4","00:31:53","00:31:54","10","98"
Running,2025-07-26 09:20:48,false,"Fairfax County Running","4.30","538","00:41:45","156","182","170","182","9:42","7:13","105","89","0.98","0.0","7,098","No","00:03:17.5","5","00:41:36","00:44:16","4","99"
Running,2025-07-24 07:08:11,false,"Fairfax County Running","3.33","390","00:30:04","153","167","168","178","9:02","6:43","103","89","1.07","0.0","5,028","No","00:03:10.1","4","00:30:02","00:30:04","7","99"
Running,2025-07-23 17:43:13,false,"Fairfax County Running","3.09","378","00:28:56","153","164","168","177","9:22","7:11","79","62","1.03","0.0","4,840","No","00:00:51.3","4","00:28:55","00:28:56","49","98"
Running,2025-07-22 07:36:21,false,"Fairfax County Running","3.06","366","00:28:56","146","156","169","182","9:26","8:04","44","37","1.01","0.0","4,868","No","00:00:39.6","4","00:28:54","00:28:56","50","100"
Running,2025-07-20 10:30:32,false,"Fairfax County Running","4.01","497","00:38:16","156","173","166","180","9:33","6:59","111","109","1.02","0.0","6,360","No","00:00:03.3","5","00:37:58","00:38:16","29","99"
Running,2025-07-19 08:42:27,false,"Fairfax County Running","5.09","638","00:50:34","158","173","167","182","9:56","6:56","111","95","0.97","0.0","8,448","No","00:00:53.5","6","00:50:23","00:51:24","3","99"
Running,2025-07-16 06:46:04,false,"Fairfax County Running","3.14","379","00:29:13","152","168","168","177","9:18","7:04","72","59","1.03","0.0","4,900","No","00:01:30.1","4","00:29:12","00:29:13","48","98"
Running,2025-07-13 09:09:24,false,"Fairfax County Running","3.09","371","00:27:40","159","181","169","180","8:58","1:21","60","50","1.06","0.0","4,676","No","00:00:47.5","4","00:27:39","00:27:40","49","99"
Running,2025-07-12 08:43:50,false,"Alexandria Running","5.58","728","00:58:53","161","182","159","249","10:34","6:58","150","84","0.95","0.0","9,388","No","00:06:50.4","6","00:58:48","00:59:12","-33","98"
Running,2025-07-10 17:55:04,false,"Fairfax County Running","3.14","389","00:29:55","158","176","164","174","9:31","7:41","102","87","1.03","0.0","4,900","No","00:01:27.3","4","00:29:51","00:29:55","9","98"
Running,2025-07-07 06:12:00,false,"Fairfax County Running","3.39","385","00:30:05","154","177","164","182","8:53","6:28","64","45","1.10","0.0","4,946","No","00:03:41.6","4","00:30:03","00:30:05","49","99"
Running,2025-07-05 09:59:44,false,"Fairfax County Running","4.47","573","00:43:02","164","179","167","178","9:37","7:14","111","89","1.00","0.0","7,170","No","00:05:04.5","5","00:43:01","00:43:02","4","98"
Running,2025-07-04 10:05:08,false,"Fairfax County Running","4.46","556","00:41:22","162","179","166","178","9:17","6:44","110","89","1.03","0.0","6,936","No","00:04:34.8","5","00:41:20","00:41:22","4","98"
Running,2025-06-30 18:44:41,false,"Fairfax County Running","3.01","379","00:29:42","156","171","165","174","9:53","7:37","39","36","0.99","0.0","4,890","No","00:00:04.1","4","00:29:40","00:29:42","49","98"
Running,2025-06-24 17:54:26,false,"Fairfax County Running","3.07","373","00:34:27","141","156","154","247","11:14","7:47","104","89","0.93","0.0","5,374","No","00:00:41.4","4","00:34:20","00:34:27","7","98"
Running,2025-06-22 09:26:43,false,"Fairfax County Running","4.23","538","00:53:41","141","164","146","182","12:41","8:46","123","109","0.86","0.0","7,944","No","00:07:28.5","5","00:49:11","00:53:41","14","92"
Running,2025-06-22 09:10:24,false,"Fairfax County Running","0.00","186","00:14:42","144","154","164","173","--","7:39","21","40","0.00","0.0","2,428","No","00:14:42","1","00:13:49","00:15:00","50","99"
Running,2025-06-21 08:31:40,false,"Fairfax County Running","4.01","491","00:37:10","157","185","170","186","9:17","7:10","108","86","1.02","0.0","6,290","No","00:00:04.2","5","00:37:09","00:37:10","5","98"
Running,2025-06-19 08:41:43,false,"Fairfax County Running","4.26","503","00:39:30","157","178","167","181","9:17","7:33","146","126","1.04","0.0","6,168","No","00:02:35","5","00:39:30","00:39:30","17","99"
